

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
354.852  000.224  000.224: require('mason-core.async')
355.084  000.225  000.225: require('mason-core.async.uv')
355.110  000.666  000.217: require('mason-core.fs')
355.143  001.322  000.283: require('mason-registry')
355.346  000.197  000.197: require('mason-lspconfig.server_config_extensions')
355.558  000.205  000.205: require('lspconfig.server_configurations.omnisharp')
355.816  000.195  000.195: require('mason-lspconfig.ensure_installed')
356.253  000.191  000.191: require('mason-core.result')
356.989  000.328  000.328: require('mason-core.process')
372.780  015.783  015.783: require('mason-core.spawn')
372.791  016.343  000.232: require('mason-core.managers.powershell')
373.005  000.209  000.209: require('mason.version')
373.013  016.753  000.200: require('mason-core.fetch')
373.241  000.223  000.223: require('mason-core.providers')
373.991  000.257  000.257: require('mason-core.purl')
374.006  000.548  000.291: require('mason-core.package')
374.698  000.200  000.200: require('mason-core.installer.registry.expr')
374.714  000.462  000.262: require('mason-core.installer.registry.link')
375.795  000.197  000.197: require('mason-core.receipt')
375.853  000.496  000.299: require('mason-core.installer.context')
376.077  000.218  000.218: require('mason-core.async.control')
376.286  000.202  000.202: require('mason-core.installer.linker')
376.296  001.171  000.255: require('mason-core.installer')
376.315  001.401  000.230: require('mason-core.installer.managers.std')
376.320  001.601  000.200: require('mason-core.installer.registry.schemas')
376.547  000.224  000.224: require('mason-core.installer.registry.util')
376.561  002.550  000.264: require('mason-core.installer.registry')
376.565  003.318  000.220: require('mason-registry.sources.util')
376.578  020.748  000.263: require('mason-registry.sources.github')
381.943  000.201  000.201: require('mason-core.functional.number')
381.988  000.477  000.277: require('mason-lspconfig.api.command')
384.828  000.213  000.213: require('lspconfig.server_configurations.html')
386.151  000.213  000.213: require('lspconfig.server_configurations.cssls')
387.462  000.238  000.238: require('lspconfig.server_configurations.eslint')
388.793  000.285  000.285: require('lspconfig.server_configurations.rust_analyzer')
390.361  000.250  000.250: require('lspconfig.server_configurations.tailwindcss')
391.693  000.235  000.235: require('lspconfig.server_configurations.gopls')
394.388  000.202  000.202: require('luasnip.session.enqueueable_operations')
394.793  000.397  000.397: require('luasnip.util.jsonc')
396.056  000.230  000.230: require('luasnip.util.events')
396.076  000.538  000.308: require('luasnip.nodes.node')
396.359  000.278  000.278: require('luasnip.nodes.insertNode')
396.726  000.359  000.359: require('luasnip.nodes.textNode')
396.982  000.245  000.245: require('luasnip.util.mark')
397.200  000.210  000.210: require('luasnip.util.pattern_tokenizer')
397.401  000.195  000.195: require('luasnip.util.dict')
398.529  000.878  000.878: require('luasnip.util.jsregexp')
398.541  001.131  000.253: require('luasnip.nodes.util.trig_engines')
398.617  003.406  000.450: require('luasnip.nodes.snippet')
398.626  003.614  000.208: require('luasnip.nodes.duplicate')
398.634  003.831  000.217: require('luasnip.loaders.snippet_cache')
398.645  004.745  000.316: require('luasnip.loaders.from_vscode')
419.125  000.230  000.230: require('luasnip.util.parser.neovim_ast')
419.348  000.209  000.209: require('luasnip.util.str')
420.226  000.866  000.866: require('luasnip.util.jsregexp')
420.499  000.266  000.266: require('luasnip.util.directed_graph')
420.511  001.851  000.280: require('luasnip.util.parser.ast_utils')
420.771  000.255  000.255: require('luasnip.nodes.functionNode')
421.105  000.327  000.327: require('luasnip.nodes.choiceNode')
421.390  000.277  000.277: require('luasnip.nodes.dynamicNode')
421.652  000.255  000.255: require('luasnip.util.functions')
421.667  003.282  000.317: require('luasnip.util.parser.ast_parser')
422.062  000.390  000.390: require('luasnip.util.parser.neovim_parser')
422.074  003.939  000.268: require('luasnip.util.parser')
422.083  004.213  000.274: require('luasnip.nodes.snippetProxy')
422.320  000.232  000.232: require('luasnip.nodes.multiSnippet')
425.206  000.467  000.467: require('lsp-zero.cmp-mapping')
432.745  000.305  000.305: require('lualine_require')
433.531  006.562  006.257: require('lualine')
438.308  000.237  000.237: require('lualine.utils.mode')
451.719  000.234  000.234: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/editorconfig.lua
452.369  000.365  000.365: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/gzip.vim
452.668  000.035  000.035: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/health.vim
453.197  000.268  000.268: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/man.lua
458.651  000.411  000.411: sourcing C:\Program Files\Neovim\share\nvim\runtime\pack\dist\opt\matchit\plugin\matchit.vim
458.999  005.541  005.130: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/matchit.vim
459.509  000.251  000.251: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/matchparen.vim
460.559  000.777  000.777: sourcing C:\Program Files\Neovim\share\nvim\runtime/plugin/netrwPlugin.vim
